Unique ID;Author's Sample Name;Latitude;Longitude;pH;Referenced Data;Ia;Ib;Ic;IIa_5me;IIa_6me;IIb_5me;IIb_6me;IIc_5me;IIc_6me;IIIa_5me;IIIa_6me;IIIb_5me;IIIb_6me;IIIc_5me;IIIc_6me;Sample type
Lake-71;Libby Flats ll;41.319;-106.2802;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.31665779;0.02133333;0.00530376;0.39498939;0.07107072;0.01333487;0.00214141;0;0;0.15042524;0.02357426;0.00066417;0.00050507;0;0;Lake
Lake-72;Little;41.3539;-106.2771;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.17961687;0.03264168;0.00417614;0.26352928;0.227;0.0254039;0.01827486;0.00237413;0.0000213;0.12977222;0.11304992;0.00201461;0.00202482;0;0;Lake
Lake-73;Lost;41.4447;-106.1177;7.01;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.18661389;0.04424757;0.01078433;0.2792409;0.16894977;0.03622298;0.01661023;0.0055231;0.00012276;0.14404625;0.10375915;0.00192454;0.00195455;0;0;Lake
Lake-74;Lower Paintrock;44.392923;-107.38157;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.17382977;0.01790622;0.00292362;0.2645205;0.11172036;0.03662644;0.00954706;0.00398577;0;0.31575771;0.05770235;0.00420041;0.00127981;0;0;Lake
Lake-75;Middle Rainbow Lake;40.648;-106.624;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.16283261;0.01635539;0.0038548;0.26932826;0.11419162;0.02929757;0.01077791;0.00570286;0;0.3163775;0.06521313;0.00449118;0.00157718;0;0;Lake
Lake-76;Mirror;41.3383;-106.3199;6.29;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.12250052;0.01287327;0.00280886;0.17348798;0.159;0.02582502;0.01003403;0.00484408;0.0000813;0.33042903;0.147;0.0063807;0.00295997;0.00145876;0.0000584;Lake
Lake-77;North Banner;41.4151;-106.358;7.94;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.18660856;0.00835736;0.00098154;0.26626196;0.14368666;0.00965056;0.0085451;0;0;0.26122171;0.11001767;0.0021114;0.00170737;0.00085012;0;Lake
Lake-78;Rainbow;44.936179;-109.50104;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.20579348;0.01951578;0.00297707;0.23315502;0.16289519;0.01687702;0.01492421;0.00269203;0;0.24575573;0.09042199;0.00259702;0.00239548;0;0;Lake
Lake-79;Rainbow 2;44.936179;-109.50104;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.19052944;0.01380931;0.00227801;0.24591763;0.14912486;0.01859763;0.00830138;0.00236095;0;0.28038427;0.08051462;0.0038774;0.0043045;0;0;Lake
Lake-80;Rainbow 3;44.936179;-109.50104;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.190069;0.01472506;0.00232824;0.25030341;0.15033933;0.02048145;0.00589545;0.00237961;0;0.28014179;0.07471481;0.00431087;0.00431099;0;0;Lake
Lake-81;Round;41.3593;-106.2695;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.13090656;0.04580975;0.00585295;0.263059;0.15754145;0.04281655;0.02542637;0.00366223;0.00021174;0.21791188;0.10047348;0.00368216;0.00241492;0.00019822;0.0000327;Lake
Lake-82;Round 2;41.3593;-106.2695;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.13185661;0.044993;0.00539871;0.27379542;0.15747154;0.04067537;0.02580463;0.00363017;0.00090017;0.20901019;0.09793714;0.00394527;0.00379896;0.00042839;0.00035445;Lake
Lake-83;Round Mountain Lake;40.585058;-106.67834;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.17920837;0.00702871;0.00091898;0.29610557;0.13239339;0.01406628;0.00528556;0.00122487;0.00014841;0.2777776;0.08130341;0.00276842;0.00177045;0;0;Lake
Lake-84;Seven Lakes;40.896;-106.681;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.17495308;0.00938256;0.00156495;0.24600809;0.12605043;0.01570388;0.00780459;0.00173738;0.00013708;0.34351065;0.06664298;0.0038908;0.00261354;0;0;Lake
Lake-85;Silver;41.3097;-106.3567;6.48;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.11071692;0.02225471;0.00448305;0.20656115;0.0989;0.06888912;0.01735384;0.00744314;0.0000649;0.34523834;0.104;0.01004463;0.00277644;0.00159931;0.00000815;Lake
Lake-86;Silver Run;41.3267;-106.2366;9.68;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.19059775;0.02017914;0.00519765;0.29661213;0.11;0.03789254;0.00716677;0.00538915;0.0000195;0.25623745;0.06300531;0.004395;0.00155485;0.00070268;0.0013842;Lake
Lake-87;South Gap;41.3693;-106.2993;5.95;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.07378457;0.0069511;0.00251137;0.22345926;0.08279915;0.0182136;0.00399057;0.00340883;0;0.50870885;0.0707824;0.00437471;0.0010156;0;0;Lake
Lake-88;Stamp Mill;41.3503;-106.3811;6.368;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.21876497;0.00987725;0.00280708;0.29365931;0.13803833;0.01123409;0.0039381;0.00328623;0;0.25452648;0.06163042;0.00153468;0.00041902;0.00028404;0;Lake
Lake-89;Teal Lake;40.583;-106.608;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.22158644;0.02414259;0.00417695;0.30190945;0.1242577;0.02672198;0.01482573;0.00417945;0.00027819;0.2140842;0.05918369;0.00252277;0.00213086;0;0;Lake
Lake-90;Unnamed;40.506;-106.617;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.18428453;0.02088121;0.00253551;0.26544578;0.14032681;0.02996108;0.01906766;0.00378987;0.00014054;0.20858957;0.11827164;0.00367189;0.00303392;0;0;Lake
Lake-91;Whale Lake;40.556;-106.675;NA;"Martínez-Sosa et al., 2020; Stefanescu et al., 2021";0.15433812;0.00970112;0.00180128;0.26769564;0.11670806;0.01299618;0.01472909;0.00274211;0.00043027;0.32087697;0.09045227;0.0043732;0.00315569;0;0;Lake
Lake-92;Queen Sewell Pond;41.7562;-70.60355;NA;Martínez-Sosa et al., 2020;0.47120326;0.03742935;0.00695334;0.2834476;0.09374058;0.01310497;0.00596812;0;0;0.06887147;0.01731063;0.00092665;0.00104404;0;0;Lake
Lake-93;Rocky Pond;41.8862;-70.69475;4.9;Martínez-Sosa et al., 2020;0.32880546;0.10744363;0.01779153;0.22820011;0.1258922;0.06472623;0.02587897;0;0;0.06574933;0.02940182;0.00383246;0.00227825;0;0;Lake
Lake-94;Sunfish Pond;41.64488;-76.69784;NA;Martínez-Sosa et al., 2020;0.55603045;0.04330612;0.00783257;0.29578516;0;0.01411102;0.00327914;0;0;0.06427988;0.01403594;0.00051106;0.00082865;0;0;Lake
Lake-95;Stealing Lake;30.4628;-85.89494;NA;Martínez-Sosa et al., 2020;0.39164149;0.11421003;0.02199785;0.19164191;0.09887064;0.06095933;0.02792901;0.00738011;0.00154178;0.05112409;0.02717716;0.00301213;0.00251448;0;0;Lake
Lake-96;Lake Jackson;31.0001167;-86.322767;NA;Martínez-Sosa et al., 2020;0.64008044;0.08039928;0.0194924;0.15594937;0.06047015;0.00999357;0.00536543;0;0;0.01865734;0.00858856;0.00046735;0.00053611;0;0;Lake
Lake-97;Griffin Mill Pond;30.568883;-85.549583;NA;Martínez-Sosa et al., 2020;0.66345852;0.06458523;0.01380846;0.14848149;0.05834197;0.00969814;0.00405253;0;0;0.02368719;0.01128303;0.00117121;0.00143223;0;0;Lake
Lake-98;Rattlesnake Lake;30.459483;-85.566967;NA;Martínez-Sosa et al., 2020;0.56266271;0.13362302;0.04080978;0.13279726;0.07045403;0.01366651;0.01132563;0.00521324;0;0.01399267;0.01431511;0;0.00114005;0;0;Lake
Lake-99;Little Rattlesnake Lake;30.462533;-85.573517;NA;Martínez-Sosa et al., 2020;0.72851148;0.05684486;0.01627918;0.12265528;0.04245402;0.00550523;0.00335227;0.00206938;0;0.0123407;0.00856533;0.00037893;0.00104336;0;0;Lake
Lake-100;Henry Lee Pond;30.52515;-85.85548;NA;Martínez-Sosa et al., 2020;0.74548068;0.05309411;0.00900498;0.1175434;0.04447349;0.005177;0.00209764;0;0;0.01321701;0.00890989;0.00035899;0.00064284;0;0;Lake
Lake-101;Floodplain Lake 4;30.5358;-85.87165;NA;Martínez-Sosa et al., 2020;0.77423004;0.04341711;0.00801513;0.1096809;0.04078879;0.00436133;0.00359986;0;0;0.01026806;0.00563877;0;0;0;0;Lake
Lake-102;False River;30.69115;-91.41861;NA;Martínez-Sosa et al., 2020;0.22533167;0.15967532;0.03244994;0.13364566;0.16060547;0.07961789;0.09239921;0.00975248;0.00677374;0.03898107;0.04760358;0.00557755;0.00758642;0;0;Lake
Lake-103;Lake Bruin;31.96312;-91.20163;NA;Martínez-Sosa et al., 2020;0.18931461;0.13775113;0.02147294;0.14028731;0.16246804;0.10748612;0.09314145;0.00981014;0.0037548;0.05621403;0.06124501;0.00884064;0.00821379;0;0;Lake
Lake-104;Tokun Lake;60.409;-144.303;NA;Martínez-Sosa et al., 2020;0.15445345;0.01552075;0.00792772;0.18297335;0.08329162;0.02896929;0.00964055;0.00948585;0.00019175;0.39563711;0.10299445;0.00739246;0.00152167;0;0;Lake
Lake-105;Cabin Lake;60.53;-145.46;NA;Martínez-Sosa et al., 2020;0.23413291;0.02259395;0.00982705;0.29488346;0.07694917;0.02541983;0.00795435;0.00743696;0.0003003;0.26683923;0.0504654;0.00221174;0.00098569;0;0;Lake
Lake-106;Cub Lake;60.58;-152.36;NA;Martínez-Sosa et al., 2020;0.30035509;0.02390669;0.00391984;0.28525755;0.07110035;0.01804734;0.00649527;0.00389635;0.00508578;0.22065589;0.05382752;0.0052095;0.00224283;0;0;Lake
Lake-107;Mother Goose Lake;57.2;-157.34;4.5;Martínez-Sosa et al., 2020;0.22245805;0.0186151;0.0023914;0.40491654;0.01184795;0.01127373;0.00208975;0.0000182;0.00348533;0.29185217;0.02711582;0.00236596;0.00157004;0;0;Lake
Lake-108;Andrew Lake;51.94;-176.64;NA;Martínez-Sosa et al., 2020;0.16854107;0.02252655;0.00824057;0.18265064;0.1600554;0.02231916;0.03413728;0.00561043;0.00271229;0.25457143;0.12834895;0.00360314;0.00668309;0;0;Lake
Lake-109;Allison Lake;61.05;-146.35;NA;Martínez-Sosa et al., 2020;0.22705279;0.01140672;0.00220812;0.23542334;0.12180682;0.01039842;0.01340641;0.00506965;0.00334597;0.22345333;0.1380973;0.00585826;0.00247286;0;0;Lake
Lake-110;Ashley Lake / Heart Lake;51.852;-176.69;NA;Martínez-Sosa et al., 2020;0.19825748;0.01955303;0.00589081;0.22608166;0.1292093;0.02132734;0.01917303;0.00569904;0.0018068;0.2667074;0.09762178;0.00378453;0.00488782;0;0;Lake
